Ubicaciones,Tipo ubicación,Hecho Victimizante,Tipo Hecho,Afectación,Tipo Afectación,Temporalidad,Tipo Temporalidad,Entidades,Tipo Entidad
mercaderes,municipio,,,,,,,,
miranda,municipio,,,,,,,,
morales,municipio,,,,,,,,
padilla,municipio,,,,,,,,
patía,municipio,,,,,,,,
piamonte,municipio,,,,,,,,
piendamó,municipio,,,,,,,,
puerto tejada,municipio,,,,,,,,
puracé,municipio,,,,,,,,
rosas,municipio,,,,,,,,
santa rosa,municipio,,,,,,,,
silvia,municipio,,,,,,,,
sotara,municipio,,,,,,,,
suárez,municipio,,,,,,,,
sucre,municipio,,,,,,,,
timbío,municipio,,,,,,,,
timbiquí,municipio,,,,,,,,
toribio,municipio,,,,,,,,
totoró,municipio,,,,,,,,
villa rica,municipio,,,,,,,,
valledupar,municipio,,,,,,,,
aguachica,municipio,,,,,,,,
agustín codazzi,municipio,,,,,,,,
astrea,municipio,,,,,,,,
becerril,municipio,,,,,,,,
bosconia,municipio,,,,,,,,
chimichagua,municipio,,,,,,,,
chiriguaná,municipio,,,,,,,,
curumaní,municipio,,,,,,,,
el copey,municipio,,,,,,,,
el paso,municipio,,,,,,,,
gamarra,municipio,,,,,,,,
gonzález,municipio,,,,,,,,
la gloria,municipio,,,,,,,,
manaure,municipio,,,,,,,,
pailitas,municipio,,,,,,,,
pelaya,municipio,,,,,,,,
pueblo bello,municipio,,,,,,,,
la paz,municipio,,,,,,,,
san alberto,municipio,,,,,,,,
san diego,municipio,,,,,,,,
san martín,municipio,,,,,,,,
tamalameque,municipio,,,,,,,,
montería,municipio,,,,,,,,
ayapel,municipio,,,,,,,,
buenavista,municipio,,,,,,,,
canalete,municipio,,,,,,,,
cereté,municipio,,,,,,,,
chimá,municipio,,,,,,,,
chinú,municipio,,,,,,,,
cotorra,municipio,,,,,,,,
lorica,municipio,,,,,,,,
los córdobas,municipio,,,,,,,,
momil,municipio,,,,,,,,
moñitos,municipio,,,,,,,,
planeta rica,municipio,,,,,,,,
pueblo nuevo,municipio,,,,,,,,
puerto escondido,municipio,,,,,,,,
purísima,municipio,,,,,,,,
sahagún,municipio,,,,,,,,
san andrés sotavento,municipio,,,,,,,,
san antero,municipio,,,,,,,,
san pelayo,municipio,,,,,,,,
tierralta,municipio,,,,,,,,
tuchín,municipio,,,,,,,,
valencia,municipio,,,,,,,,
anapoima,municipio,,,,,,,,
arbeláez,municipio,,,,,,,,
beltrán,municipio,,,,,,,,
bituima,municipio,,,,,,,,
bojacá,municipio,,,,,,,,
cabrera,municipio,,,,,,,,
cachipay,municipio,,,,,,,,
cajicá,municipio,,,,,,,,
caparrapí,municipio,,,,,,,,
caqueza,municipio,,,,,,,,
chaguaní,municipio,,,,,,,,
chipaque,municipio,,,,,,,,
choachí,municipio,,,,,,,,
chocontá,municipio,,,,,,,,
cogua,municipio,,,,,,,,
cota,municipio,,,,,,,,
cucunubá,municipio,,,,,,,,
el colegio,municipio,,,,,,,,
el rosal,municipio,,,,,,,,
fomeque,municipio,,,,,,,,
fosca,municipio,,,,,,,,
funza,municipio,,,,,,,,
fúquene,municipio,,,,,,,,
gachala,municipio,,,,,,,,
gachancipá,municipio,,,,,,,,
gachetá,municipio,,,,,,,,
girardot,municipio,,,,,,,,
granada,municipio,,,,,,,,
guachetá,municipio,,,,,,,,
guaduas,municipio,,,,,,,,
guasca,municipio,,,,,,,,
guataquí,municipio,,,,,,,,
guatavita,municipio,,,,,,,,
guayabetal,municipio,,,,,,,,
gutiérrez,municipio,,,,,,,,
jerusalén,municipio,,,,,,,,
junín,municipio,,,,,,,,
la calera,municipio,,,,,,,,
la mesa,municipio,,,,,,,,
la palma,municipio,,,,,,,,
la peña,municipio,,,,,,,,
la vega,municipio,,,,,,,,
lenguazaque,municipio,,,,,,,,
macheta,municipio,,,,,,,,
madrid,municipio,,,,,,,,
manta,municipio,,,,,,,,
medina,municipio,,,,,,,,
mosquera,municipio,,,,,,,,
nariño,municipio,,,,,,,,
nemocón,municipio,,,,,,,,
nilo,municipio,,,,,,,,
nimaima,municipio,,,,,,,,
nocaima,municipio,,,,,,,,
venecia,municipio,,,,,,,,
pacho,municipio,,,,,,,,
paime,municipio,,,,,,,,
pandi,municipio,,,,,,,,
paratebueno,municipio,,,,,,,,
pasca,municipio,,,,,,,,
puerto salgar,municipio,,,,,,,,
pulí,municipio,,,,,,,,
quebradanegra,municipio,,,,,,,,
quetame,municipio,,,,,,,,
quipile,municipio,,,,,,,,
apulo,municipio,,,,,,,,
ricaurte,municipio,,,,,,,,
san bernardo,municipio,,,,,,,,
san cayetano,municipio,,,,,,,,
san francisco,municipio,,,,,,,,
sesquilé,municipio,,,,,,,,
sibaté,municipio,,,,,,,,
silvania,municipio,,,,,,,,
simijaca,municipio,,,,,,,,
soacha,municipio,,,,,,,,
subachoque,municipio,,,,,,,,
suesca,municipio,,,,,,,,
supatá,municipio,,,,,,,,
susa,municipio,,,,,,,,
sutatausa,municipio,,,,,,,,
tabio,municipio,,,,,,,,
tausa,municipio,,,,,,,,
tena,municipio,,,,,,,,
tenjo,municipio,,,,,,,,
tibacuy,municipio,,,,,,,,
tibirita,municipio,,,,,,,,
tocaima,municipio,,,,,,,,
tocancipá,municipio,,,,,,,,
topaipí,municipio,,,,,,,,
ubalá,municipio,,,,,,,,
ubaque,municipio,,,,,,,,
une,municipio,,,,,,,,
útica,municipio,,,,,,,,
vianí,municipio,,,,,,,,
villagómez,municipio,,,,,,,,
villapinzón,municipio,,,,,,,,
villeta,municipio,,,,,,,,
viotá,municipio,,,,,,,,
zipacón,municipio,,,,,,,,
quibdó,municipio,,,,,,,,
acandí,municipio,,,,,,,,
alto baudo,municipio,,,,,,,,
atrato,municipio,,,,,,,,
bagadó,municipio,,,,,,,,
bahía solano,municipio,,,,,,,,
bajo baudó,municipio,,,,,,,,
bojaya,municipio,,,,,,,,
cértegui,municipio,,,,,,,,
condoto,municipio,,,,,,,,
juradó,municipio,,,,,,,,
lloró,municipio,,,,,,,,
medio atrato,municipio,,,,,,,,
medio baudó,municipio,,,,,,,,
medio san juan,municipio,,,,,,,,
nóvita,municipio,,,,,,,,
nuquí,municipio,,,,,,,,
río iro,municipio,,,,,,,,
río quito,municipio,,,,,,,,
riosucio,municipio,,,,,,,,
sipí,municipio,,,,,,,,
unguía,municipio,,,,,,,,
neiva,municipio,,,,,,,,
acevedo,municipio,,,,,,,,
agrado,municipio,,,,,,,,
aipe,municipio,,,,,,,,
algeciras,municipio,,,,,,,,
altamira,municipio,,,,,,,,
baraya,municipio,,,,,,,,
campoalegre,municipio,,,,,,,,
colombia,municipio,,,,,,,,
elías,municipio,,,,,,,,
garzón,municipio,,,,,,,,
gigante,municipio,,,,,,,,
guadalupe,municipio,,,,,,,,
hobo,municipio,,,,,,,,
iquira,municipio,,,,,,,,
isnos,municipio,,,,,,,,
la argentina,municipio,,,,,,,,
la plata,municipio,,,,,,,,
nátaga,municipio,,,,,,,,
oporapa,municipio,,,,,,,,
paicol,municipio,,,,,,,,
palermo,municipio,,,,,,,,
palestina,municipio,,,,,,,,
pital,municipio,,,,,,,,
pitalito,municipio,,,,,,,,
rivera,municipio,,,,,,,,
saladoblanco,municipio,,,,,,,,
santa maría,municipio,,,,,,,,
suaza,municipio,,,,,,,,
tarqui,municipio,,,,,,,,
tesalia,municipio,,,,,,,,
tello,municipio,,,,,,,,
teruel,municipio,,,,,,,,
timaná,municipio,,,,,,,,
villavieja,municipio,,,,,,,,
yaguará,municipio,,,,,,,,
riohacha,municipio,,,,,,,,
albania,municipio,,,,,,,,
barrancas,municipio,,,,,,,,
dibula,municipio,,,,,,,,
distracción,municipio,,,,,,,,
el molino,municipio,,,,,,,,
fonseca,municipio,,,,,,,,
hatonuevo,municipio,,,,,,,,
maicao,municipio,,,,,,,,
manaure,municipio,,,,,,,,
uribia,municipio,,,,,,,,
urumita,municipio,,,,,,,,
villanueva,municipio,,,,,,,,
santa marta,municipio,,,,,,,,
algarrobo,municipio,,,,,,,,
aracataca,municipio,,,,,,,,
ariguaní,municipio,,,,,,,,
cerro san antonio,municipio,,,,,,,,
chivolo,municipio,,,,,,,,
concordia,municipio,,,,,,,,
el banco,municipio,,,,,,,,
el piñon,municipio,,,,,,,,
el retén,municipio,,,,,,,,
fundación,municipio,,,,,,,,
guamal,municipio,,,,,,,,
nueva granada,municipio,,,,,,,,
pedraza,municipio,,,,,,,,
pivijay,municipio,,,,,,,,
plato,municipio,,,,,,,,
remolino,municipio,,,,,,,,
salamina,municipio,,,,,,,,
san zenón,municipio,,,,,,,,
santa ana,municipio,,,,,,,,
sitionuevo,municipio,,,,,,,,
tenerife,municipio,,,,,,,,
zapayán,municipio,,,,,,,,
zona bananera,municipio,,,,,,,,
villavicencio,municipio,,,,,,,,
acacias,municipio,,,,,,,,
cabuyaro,municipio,,,,,,,,
cubarral,municipio,,,,,,,,
cumaral,municipio,,,,,,,,
el calvario,municipio,,,,,,,,
el castillo,municipio,,,,,,,,
el dorado,municipio,,,,,,,,
granada,municipio,,,,,,,,
guamal,municipio,,,,,,,,
mapiripán,municipio,,,,,,,,
mesetas,municipio,,,,,,,,
la macarena,municipio,,,,,,,,
lejanías,municipio,,,,,,,,
puerto concordia,municipio,,,,,,,,
puerto gaitán,municipio,,,,,,,,
